,Company name,City,Region,Date of incorporation,Release date,"Fixed assets
th EUR
2019","Fixed assets
th EUR
2018","Fixed assets
th EUR
2017","Fixed assets
th EUR
2016","Fixed assets
th EUR
2015","Fixed assets
th EUR
2014","Fixed assets
th EUR
2013","Fixed assets
th EUR
2012","Fixed assets
th EUR
2011","Fixed assets
th EUR
2010","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Costs of employees
th EUR
2019","Costs of employees
th EUR
2018","Costs of employees
th EUR
2017","Costs of employees
th EUR
2016","Costs of employees
th EUR
2015","Costs of employees
th EUR
2014","Costs of employees
th EUR
2013","Costs of employees
th EUR
2012","Costs of employees
th EUR
2011","Costs of employees
th EUR
2010","Material costs
th EUR
2019","Material costs
th EUR
2018","Material costs
th EUR
2017","Material costs
th EUR
2016","Material costs
th EUR
2015","Material costs
th EUR
2014","Material costs
th EUR
2013","Material costs
th EUR
2012","Material costs
th EUR
2011","Material costs
th EUR
2010","Sales
th EUR
2019","Sales
th EUR
2018","Sales
th EUR
2017","Sales
th EUR
2016","Sales
th EUR
2015","Sales
th EUR
2014","Sales
th EUR
2013","Sales
th EUR
2012","Sales
th EUR
2011","Sales
th EUR
2010"
3167.,IMMOCOS GMBH,SCHWINDEGG,MÅhldorf,09/08/2001,04/2020,n.a.,n.a.,n.a.,2873,n.a.,2882,2464,2457,2158,1047,n.a.,n.a.,n.a.,5,n.a.,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,450,450,450,400,n.a.
3168.,IMMUNIC RESEARCH GMBH,HALLE,Halle (Saale),02/08/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3169.,IMPACT INTERNATIONAL GESELLSCHAFT MIT BESCHRéNKTER HAFTUNG,KôLN,Kîln,09/08/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3170.,IMPARAT FARBWERK IVERSEN & MéHL GMBH & CO. KG,GLINDE,Stormarn,02/12/1905,04/2020,n.a.,2820,2480,2043,2047,1703,1822,1948,2073,2197,n.a.,156,157,159,160,167,181,184,186,188,n.a.,9266,9323,9728,9718,9678,9851,9825,10015,9804,n.a.,n.a.,n.a.,n.a.,n.a.,14423,14316,15064,16942,14670,n.a.,n.a.,n.a.,n.a.,n.a.,30591,28786,30124,31466,28874
3171.,IMPERACHEM INTERNATIONAL GMBH & CO. KG,HAMM,Hamm,01/04/2008,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3172.,IMPEX TECH LINE UG (HAFTUNGSBESCHRéNKT),KôLN,Kîln,23/10/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3173.,IMPLANTAT-STUDIO STRéHLE GMBH,WIESBADEN,Wiesbaden,07/04/2005,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,3,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3174.,IMREG PHARMACEUTICALS GMBH,LEIPZIG,Leipzig,11/09/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3175.,IMTEGRA GMBH & CO. KG,ROSTOCK,Rostock,21/07/2003,04/2020,n.a.,132,156,166,176,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5,5,5,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3176.,IMUNA JöRGEN RICHTER GMBH,BOCHUM,Bochum,19/08/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,7,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3177.,IN HYDRO GMBH,HAMBöHREN,Celle,18/04/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5,5,4,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3178.,INARI ARCTIC COSMETICS GMBH,DORFEN,Erding,10/07/2017,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3179.,INDAFA GMBH,PULHEIM,Pforzheim,14/07/2006,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,17,17,17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3180.,INDOLA GMBH,HAMBURG,"Hamburg, Freie und Hansestadt",14/09/1930,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3181.,INDORAMA VENTURES POLYMERS GERMANY GMBH,HATTERSHEIM,Main-Taunus,20/11/1998,04/2020,n.a.,n.a.,4717,4566,4863,5296,4740,5371,4023,6363,n.a.,n.a.,300,165,187,214,321,353,356,360,n.a.,n.a.,13102,12125,14138,16179,21765,22802,24305,24792,n.a.,n.a.,125190,111727,116970,144453,210448,247432,312742,249220,n.a.,n.a.,n.a.,147779,150472,179453,268596,315349,376160,321200
3182.,INDUSOL INDUSTRIE- UND EFFEKT-LACKSYSTEME GMBH,BOTTROP,Bottrop,22/12/1982,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6,n.a.,n.a.,n.a.,7,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3183.,INDUSTRIE ôL MAGDEBURG GMBH,HANNOVER,Hannover,26/02/2013,04/2020,n.a.,n.a.,n.a.,170,124,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,19,20,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3184.,INDUSTRIE- UND VERWALTUNGSGESELLSCHAFT SABINE BLOCH GMBH,HERRSCHING,Starnberg,25/10/1919,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3185.,INDUSTRIE-CHEMIE STEIN GESELLSCHAFT MIT BESCHRéNKTER HAFTUNG,HECHINGEN,Zollernalbkreis,16/12/1955,04/2020,n.a.,n.a.,2,2,3,1,2,17,21,3,n.a.,n.a.,n.a.,n.a.,n.a.,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1500,n.a.,1500,n.a.
3186.,INDUSTRIEKOSMETIKSERVICE REGINE KASCHNER E.K. INHABER RAINER KASCHNER,DRESDEN,Dresden,01/03/1999,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,6,6,6,6,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3187.,INEOS CUMENE GMBH,MARL,Recklinghausen,07/11/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3188.,INEOS SOLVENTS MARL GMBH,MARL,Recklinghausen,29/04/1998,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,252,250,250,230,230,230,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3189.,INEOS STYROLUTION EUROPE GMBH,FRANKFURT,Frankfurt am Main,27/02/2013,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5,n.a.,n.a.,n.a.,n.a.,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3190.,INEOS STYROLUTION KôLN GMBH,KôLN,Kîln,16/08/2007,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,200,200,200,200,200,200,n.a.,n.a.,174,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3191.,INEOS STYROLUTION LUDWIGSHAFEN GMBH,FRANKFURT,Frankfurt am Main,13/04/2007,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,4,4,4,4,49,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3192.,INFAI GMBH,KôLN,Kîln,14/02/1988,04/2020,n.a.,769,804,873,467,424,206,198,91,88,n.a.,1,1,n.a.,n.a.,14,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3193.,INFILLY CLAIM UG (HAFTUNGSBESCHRéNKT),LöBECK,LÅbeck,26/06/2017,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3194.,INFIRMARIUS GMBH,GôPPINGEN,Baden-WÅrttemberg,21/07/1976,04/2020,n.a.,45,75,100,129,89,n.a.,n.a.,0,0,n.a.,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3195.,ING. G. LINKER GMBH CHEMISCHE FABRIK,WUPPERTAL,Ennepe-Ruhr,10/12/1975,04/2020,n.a.,1575,1578,1346,1043,556,611,607,627,602,n.a.,30,34,32,30,30,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6300,5900,5800,5600,n.a.,n.a.,n.a.
3196.,"ING.-TECHNIK SCHMACK ""EMUSED"" GMBH",POHLHEIM,Gie·en,15/10/1993,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3197.,INGE PRODUCTS OHG,BODMAN-LUDWIGSHAFEN,Konstanz,18/07/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3198.,INGMANNS & SCHMIEDEKNECHT PYROTECHNIK GMBH,ERKELENZ,Heinsberg,15/01/1990,04/2020,n.a.,0,0,0,0,0,1,6,11,16,n.a.,n.a.,n.a.,n.a.,n.a.,8,8,10,12,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3199.,INK TEC GMBH,STUTENSEE,"Karlsruhe, Landkreis",12/07/2002,04/2020,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,4,3,3,n.a.,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3200.,INKARNA GMBH,SULZEMOOS,Dachau,30/09/2004,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3201.,INKU. PLASTICS GMBH,MEINERZHAGEN,MÑrkischer Kreis,28/02/2017,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3202.,INMATEC TECHNOLOGIES GMBH,RHEINBACH,Rhein-Sieg,31/03/2003,04/2020,n.a.,811,872,832,828,n.a.,980,1117,901,512,n.a.,44,41,28,26,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1056,1061,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1305,611,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2748,2417,n.a.,n.a.
3203.,INNOBLANC GMBH,,Enzkreis,13/06/2012,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3204.,INNOBRAZE GMBH FöR LôT- UND VERSCHLEI·TECHNIK,ESSLINGEN,Esslingen,30/09/1997,04/2020,119,161,157,182,163,156,140,147,151,186,30,30,30,27,26,26,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7000,6800,n.a.,n.a.,n.a.
3205.,INNOCENT INTERNATIONAL GMBH,EIMELDINGEN,Lîrrach,20/12/2001,04/2020,507,607,701,475,475,486,260,308,258,152,74,74,74,n.a.,60,40,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3206.,INNOCHEM PRODUKTIONS- UND VERTRIEBS UG (HAFTUNGSBESCHRéNKT),GOTTMADINGEN,Konstanz,15/11/2012,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,4,4,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3207.,INNOCHEM WASSER GMBH,WARDENBURG,Cuxhaven,14/12/2001,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,3,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3208.,INNOFLOW LG GMBH,AULENDORF,Ravensburg,09/07/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3209.,INNOSTRA GMBH,MöNCHEN,Frankfurt am Main,29/04/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3210.,INNO-TEC GMBH,ALLSTEDT,Mansfeld-SÅdharz,25/10/2001,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3211.,INNOVA SOLUTIONS GMBH,FRIEDRICHSHAFEN,Bodensee,29/03/2010,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,4,4,4,2,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3212.,INNOVATIVE THERMOANALYTIC INSTRUMENTS KOMMANDITGESELLSCHAFT,HETTENLEIDELHEIM,Bad DÅrkheim,09/04/2014,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
